Solution,Time
15415.75,200.6102018
14959.724725999533,200.6102018
14588.913697997068,200.6102018
14154.669101297843,200.6102018
13840.572167414652,200.6102018
13494.176423329722,200.6102018
13132.458949561347,200.6102018
12828.576564001907,200.6102018
12519.584837307371,200.6102018
12163.788925828025,200.6102018
11872.376683552275,200.6102018
11568.392942334027,200.6102018
11290.070387115456,200.6102018
11063.820859438236,200.6102018
10802.772441262145,200.6102018
10557.898166450961,200.6102018
10326.202489166535,200.6102018
10070.450606930535,200.6102018
9877.19848957213,200.6102018
9677.583049006518,200.6102018
9506.095002609372,200.6102018
