2,5,A,B,C
0.1069015923425119,-1.3682207133975497,0,2,9
0.2364169544976277,2.019586786310541,0,2,16
0.1513878188659976,4.6159444746187095,0,2,17
0.1513878188659976,1.2491132546495551,0,2,24
0.2364169544976277,8.786666481902742,0,2,39
0.1513878188659976,5.825134586411152,0,2,42
0.06145256082206721,-1.6842724384581975,0,2,46
0.1847684651734951,5.250496072484307,0,2,53
0.1513878188659976,3.939368191851667,0,2,66
0.1513878188659976,4.668752396101056,0,8,17
0.05057441642562313,0.28083253567578303,0,8,21
0.2364169544976277,2.1639169469823845,0,8,37
0.094123993020405,-0.008449538306273041,0,8,46
0.1513878188659976,1.1982918931606643,0,8,50
0.1513878188659976,8.997439140960331,0,8,54
0.10690159234251198,-0.4972087374510448,0,9,12
0.10690159234251198,-1.4729342375692642,0,9,16
0.05372412327392585,-0.4689366983898289,0,9,20
0.10690159234251212,0.20878110570871225,0,9,24
0.08925940945352076,-0.2346661935958529,0,9,28
0.08925940945352076,-0.9715608115342408,0,9,37
0.10690159234251198,-2.1452727990275533,0,9,39
0.10690159234251212,0.8294710892516095,0,9,41
0.05372412327392585,-0.9189112181597564,0,9,42
0.10690159234251212,-0.4427863188492545,0,9,44
0.10690159234251198,-0.1591981724306475,0,9,55
0.0009703469520877092,-3.3973705226641195,0,9,56
0.10690159234251198,0.11602019670105655,0,9,61
0.05372412327392585,-4.1649985809055625,0,9,66
0.1513878188659976,6.042404750640867,0,10,17
0.1513878188659976,10.429714731265172,0,10,20
0.10757175087795794,1.5680774318732738,0,10,37
0.1513878188659976,8.075225428555036,0,10,44
0.06145256082206721,-0.9311190053803668,0,10,46
0.2364169544976277,5.865691069208727,0,10,49
0.1513878188659976,12.426236494155278,0,10,54
0.0533365019790429,-1.1095026691669876,0,10,66
0.08413317898297343,1.1147060565280604,0,12,21
0.10174529502246933,0.11122789334133644,0,12,46
0.23641695449762765,1.7658566608579631,0,12,67
0.23641695449762765,6.818835534369228,0,15,16
0.23641695449762765,3.815381816732153,0,15,28
0.2364169544976281,1.3902590103753187,0,15,42
0.2364169544976281,5.05932669708557,0,15,44
0.094123993020405,-0.4709355651284959,0,15,46
0.23641695449762765,0.6307521625790766,0,15,49
0.04255379478471809,1.1553666511130078,0,15,54
0.2364169544976281,3.3283814366212177,0,15,66
0.010398005548900848,1.323979368823366,0,16,24
0.23641695449762765,6.430003280085598,0,16,39
0.2364169544976281,9.503442287315307,0,16,42
0.23641695449762765,13.275281528671552,0,16,47
0.2364169544976281,1.421510868008994,0,16,50
0.23641695449762765,6.18711831390555,0,16,55
0.23641695449762765,11.612769795787914,0,16,58
0.2364169544976281,6.1441407623194655,0,16,66
0.1513878188659976,2.1959447575572693,0,17,20
0.1513878188659976,1.0076024774221608,0,17,24
0.1513878188659976,5.163825812651882,0,17,44
0.1513878188659976,7.975878718999919,0,17,54
0.2364169544976277,-0.4005946361393473,0,17,55
0.06145256082206721,-1.433569073504346,0,17,56
0.2364169544976277,2.1404242363424157,0,17,65
0.2364169544976277,1.868427777871931,0,17,67
0.05057441642562313,-2.082499573020294,0,20,21
0.2364169544976277,9.822391061988522,0,20,37
0.1513878188659976,2.5640234468523384,0,20,50
0.09412399302040476,0.31204784114920525,0,20,55
0.2364169544976277,0.9500176379022848,0,20,65
0.2364169544976277,12.923398876725535,0,20,67
0.08413317898297312,0.00315019921255022,0,21,39
0.05057441642562331,0.5235700266149035,0,21,42
0.0019829270008684527,-4.2322155274709665,0,21,46
0.03449875928428644,-1.1759738359641307,0,21,53
0.08413317898297312,-0.5875987503096751,0,21,55
0.002811649960368529,-3.641417613294272,0,21,56
0.08413317898297312,1.2043546929955191,0,21,61
0.11243241424081818,-2.4760316919135508,0,21,65
0.11243241424081818,-2.438449216949561,0,21,66
0.08413317898297312,1.1399220062127284,0,21,67
0.1513878188659976,4.804151219905761,0,24,41
0.2364169544976277,2.130488391149932,0,24,61
0.2364169544976277,3.486440558279748,0,24,65
0.10174529502246933,-0.11255183391402568,0,28,46
0.23641695449762765,9.210516437937244,0,28,47
0.18476846517349485,8.433051909451521,0,28,53
0.23641695449762765,8.21840619262165,0,28,55
0.23641695449762765,2.856951082441173,0,28,65
0.2364169544976281,2.4485868743209203,0,28,66
0.23641695449762765,12.27813314496693,0,28,67
0.23641695449762765,10.336189713396227,0,37,39
0.2364169544976281,14.335686395673804,0,37,54
0.23641695449762765,8.763186742365725,0,37,58
0.2364169544976281,9.826253900163897,0,39,44
0.10174529502246933,-0.32096741342947155,0,39,46
0.23641695449762765,5.072474451456088,0,39,47
0.23641695449762765,1.4343614270852143,0,39,55
0.094123993020405,-0.5231188430071931,0,39,56
0.23641695449762765,10.3702207982019,0,39,58
0.23641695449762765,10.646356777197404,0,39,61
0.04175637056880157,0.5044797797999419,0,41,53
0.06145256082206721,-1.5660309639305314,0,41,56
0.1513878188659976,5.635643789338857,0,41,66
0.094123993020405,0.2153977624827164,0,42,46
0.2364169544976277,4.792202994276155,0,42,49
0.1513878188659976,1.6864058287515118,0,42,50
0.06145256082206721,-1.6437460163154225,0,42,56
0.2364169544976277,7.363131654444118,0,42,61
0.2364169544976277,8.66126995460494,0,42,67
0.094123993020405,0.2166734219662345,0,44,56
0.2364169544976277,7.4627496628624,0,44,58
0.2364169544976277,7.803601596604987,0,44,61
0.09412399302040493,1.2223903687179103,0,46,47
0.09412399302040493,0.9918907530889634,0,46,58
0.09412399302040493,-1.6698131730450667,0,46,65
0.0941239930204051,-0.5882266162162324,0,46,66
0.10174529502246923,-0.8863849063096687,0,46,67
0.18476846517349485,4.068154219954874,0,47,53
0.2364169544976281,6.542927686421778,0,47,54
0.23641695449762765,9.806351050535417,0,47,61
0.2364169544976281,6.334292393406331,0,47,66
0.23641695449762765,9.065471937630797,0,47,67
0.2364169544976281,6.055172311057322,0,49,54
0.23641695449762765,3.4147675024851667,0,49,55
0.10174529502246933,-1.2658179234172025,0,49,56
0.23641695449762765,2.039235458855039,0,49,65
0.2364169544976277,-0.9186797945506072,0,50,55
0.2364169544976277,2.080983138972787,0,50,61
0.017432452274820855,-0.2261499855056649,0,53,54
0.038642519609871584,-3.2885783440979206,0,53,55
0.043579972016261286,-1.1022063854443829,0,53,56
0.029179288451985388,-1.463269684100478,0,53,58
0.1847684651734947,1.5343156319025717,0,53,65
0.09412399302040493,1.2377349011375678,0,56,58
0.09412399302040493,1.1265206958616556,0,56,61
0.09412399302040493,-1.0284310177401723,0,56,65
0.23641695449762765,4.148814000118261,0,58,67
0.23641695449762765,3.653843392539837,0,61,65
0.2364169544976281,9.884592025889873,1,2,3
0.2364169544976281,4.800964553371138,1,2,9
0.2364169544976281,10.8647526120523,1,2,35
0.23641695449762765,6.716047160911338,1,2,37
0.2364169544976281,10.298153422951305,1,2,38
0.2364169544976281,10.138526814345996,1,2,39
0.23641695449762765,7.995071155634752,1,2,42
0.23641695449762765,2.407389643533726,1,2,65
0.23641695449762765,3.33379306362119,1,2,69
0.2364169544976277,9.261348459536158,1,3,14
0.1513878188659976,3.991464190707279,1,3,20
0.2364169544976277,10.992701328133094,1,3,31
0.2364169544976277,9.685195308312721,1,3,37
0.1513878188659976,8.66422226661593,1,3,38
0.1513878188659976,4.727954081091792,1,3,51
0.2364169544976277,8.569331889101207,1,3,60
0.2364169544976277,2.5911477542273817,1,3,69
0.1513878188659976,13.321608824644072,1,4,5
0.1513878188659976,5.560166098662915,1,4,9
0.2364169544976277,2.0392212166913333,1,4,31
0.1513878188659976,10.118417012878234,1,4,35
0.1513878188659976,12.221400388325947,1,4,38
0.1513878188659976,13.63809642058682,1,4,39
0.2364169544976277,3.1400991296966265,1,4,48
0.1513878188659976,15.24054627983844,1,4,57
0.2364169544976277,3.653670936407969,1,4,58
0.2364169544976277,14.844786410417928,1,4,60
0.2364169544976277,5.208631502137827,1,4,64
0.2364169544976277,16.18000216684341,1,5,14
0.2364169544976277,12.272135883718171,1,5,15
0.1513878188659976,3.813113996701828,1,5,18
0.2364169544976277,8.163770596783475,1,5,19
0.1513878188659976,4.855483839336445,1,5,20
0.09412399302040456,2.7138615905030186,1,5,36
0.1513878188659976,9.550290623174279,1,5,49
0.1513878188659976,2.7232931238223244,1,5,56
0.1513878188659976,3.2936952480715203,1,9,20
0.10742644269297892,-4.140506418251769,1,9,22
0.2364169544976277,5.477530698701943,1,9,25
0.2364169544976277,3.2508181266604588,1,9,31
